County/ Sub-County,Conventional Households,Earth/ Sand,Dung,"Wood
planks/
Shingles/
Timber","Palm/
Bamboo",Parquet or polished wood,Vinyl or asphal tstrips,Ceramic tiles,"Concrete/
Cement/Terrazo","Wall to wall
Carpet","Not
Stated"
LONDIANI,31739,19.5,36.5,1.2,0,0.2,0.1,3.3,38.2,1.1,0
SOIN SIGOWET,27195,18.2,52.4,0.2,0,0,0.1,3.3,24.7,1.1,0
BOMET,187230,22.7,41.2,0.2,0,0.1,0,3.7,30.6,1.5,0
BOMET EAST,29897,27.4,47.6,0.1,0,0.1,0,2,21.8,0.9,0
CHEPALUNGU,33850,21.6,64.4,0.1,0,0,0,2.1,11.3,0.5,0
KONOIN,38123,16.3,26.6,0.2,0,0.2,0,3.1,51.7,1.9,0
SOTIK,47265,27.2,40.3,0.2,0,0.1,0,4.3,25.5,2.4,0
BOMET CENTRAL,38095,20.8,31.4,0.2,-,0.1,0,6.2,39.8,1.6,0
KAKAMEGA,432284,16.2,55.3,0.1,0,0.1,0,3.5,24.2,0.6,0
BUTERE,36243,15.7,64.7,0.1,0,0,0,1.9,17.3,0.3,0
KAKAMEGA CENTRAL,51956,12.9,27.1,0.1,0,0.1,0.1,10.8,46.8,2.2,0
KAKAMEGA EAST,39589,17.9,58.1,0.2,0,0,0,2.7,20.7,0.3,0.1
KAKAMEGA NORTH,50952,21,57.3,0.1,0,0.1,0,1.8,19.3,0.3,0
