County,SubCounty,Total,Sex Male ,Sex Female,Total,HouseholdsConventional,HouseholdsGroupQuarters,LandAreaSq.Km,DensityPersonsperSq.Km
MIGORI,KURIA EAST,96872,46969,49894,17363,"17,267 ", 96,188,516
MIGORI,KURIA WEST,208513,101090,107417,39781,"39,723 ", 58,396,527
MIGORI,NYATIKE,176162,83989,92164,40257,"39,358 ", 899,677,260
MIGORI,RONGO,124587,59257,65329,29087,"29,007 ", 80,213,584
MIGORI,SUNA EAST,122674,58977,63694,27302,"27,214 ", 88,205,598
MIGORI,SUNA WEST,128890,61430,67459,29251,"28,839 ", 412,288,448
MIGORI,URIRI,141448,68127,73318,30094,"29,711 ", 383,392,361
KISII,,1266860,605784,661038,308054,"307,254 ", 800,1323,957
KISII,ETAGO,83787,40137,43647,18610,"18,610 ", -,108,773
KISII,GUCHA,83740,39631,44108,19657,"19,621 ", 36,82,1020
KISII,GUCHA SOUTH,83623,40022,43598,19732,"19,627 ", 105,95,878
KISII,KENYENYA,131740,62859,68878,30989,"30,985 ", 4,142,930
KISII,KISII CENTRAL,166906,81330,85573,44311,"44,037 ", 274,136,1229
KISII,KISII SOUTH,135134,64514,70615,31696,"31,574 ", 122,128,1054
KISII,KITUTU CENTRAL,154175,74608,79561,41271,"41,233 ", 38,100,1537
KISII,MARANI,107464,50598,56864,26186,"26,133 ", 53,128,837
KISII,MASABA SOUTH,122396,58143,64248,29232,"29,206 ", 26,161,759
KISII,NYAMACHE,130898,62113,68782,30712,"30,583 ", 129,163,805
KISII,SAMETA,66997,31829,35164,15658,"15,645 ", 13,79,847
NYAMIRA,,605576,290907,314656,150669,"150,499 ", 170,897,675
NYAMIRA,BORABU,73167,36736,36431,19468,"19,404 ", 64,247,296
NYAMIRA,MANGA,94209,44868,49339,23869,"23,836 ", 33,111,845
NYAMIRA,MASABA NORTH,111860,52884,58974,27913,"27,904 ", 9,142,789
NYAMIRA,NYAMIRA NORTH,167267,80314,86947,40446,"40,396 ", 50,216,775
NYAMIRA,NYAMIRA SOUTH,159073,76105,82965,38973,"38,959 ", 14,182,876
NAIROBI CITY,,4397073,2192452,2204376,1506888,"1,494,676 "," 12,212",704,6247
NAIROBI CITY,DAGORETTI,434208,217651,216526,155089,"154,949 ", 140,29,14908
