County /Sub-County,Population Age 15 years and Above Total,Population Age 15 years and AboveMale,Population Age 15 years and Above Female,Searched and Bought Goods/Services online Total,percent total,Searched and Bought Goods/Services onlineMale,per cent male,Searched and Bought Goods/Services onlinefemale,per cent female
NAIROBI CITY,,,,421094,14,224570,15.1,196493,13
DAGORETTI,,,,32684,11,18377,12.3,14303,9.7
EMBAKASI,,,,99490,14.6,53612,15.8,45873,13.5
KAMUKUNJI,,,,13552,7.6,7823,8.7,5728,6.5
KASARANI,,,,79594,15,42602,16.6,36988,13.4
KIBRA,,,,14218,11.4,7417,11.6,6799,11.2
LANG'ATA,,,,2094,1.5,1016,1.5,1078,1.5
MAKADARA,,,,2150,1.6,1195,1.7,955,1.4
MATHARE,,,,1574,1.1,936,1.3,638,1
NJIRU,,,,6869,1.7,3417,1.7,3451,1.6
STAREHE,,,,2380,1.7,1249,1.8,1131,1.6
WESTLANDS,,,,3748,1.7,1962,1.8,1786,1.6
