County/ Sub-County,ConventionalHouseholds,Makuti/Twigs,Makuti thatch,Dung/Mud,Iron sheets,Tins/cans,Asbestos  Concrete/sheet,Cement,Tiles,Canvas/Tents,Decra/Versatile,Nylon/Cartons/Cardboard,Shingles,Not Stated
KIRINYAGA CENTRAL,40149,0,0,0,94.5,0.1,1.5,2.5,0.4,-,0.8,0.1,0.1,0
KIRINYAGA EAST,44509,0,0,0.1,95.5,0.1,1.8,1.2,0.2,0,1,0,0,0
KIRINYAGA WEST,37951,0,0,0.1,94.5,0.1,1.2,2.8,0.3,-,0.8,0.3,0,0
MWEA EAST,46331,0,0,0.1,94.5,0.1,1.2,3.2,0.2,0,0.5,0,0,0
MWEA WEST,34613,0,0,0.2,96,0.1,1.7,1.3,0.1,0,0.6,0,0,0
MT. KENYA FOREST,23,-,-,-,100,-,- ,-,-,-,-,-,-,-
MURANG'A,317496,0,0,0.2,93.5,0.2,1.5,3.5,0.3,0,0.6,0.1,0,0
MURANG'A EAST,34650,0,0,0.1,85.3,0.2,1.8,11.1,0.4,0,0.6,0.4,0,0
KANGEMA,25283,-,0,0.1,96.6,0.2,1,1.4,0.1,0,0.4,0.1,0,-
MATHIOYA,28372,0,0,0.1,96.7,0.2,0.6,1.5,0.5,0,0.3,0,0,0
KAHURO,26778,0,0,0.1,96,0.1,1,2.1,0.2,-,0.4,0.1,0,0
MURANG'A SOUTH,55878,0,0,0.3,92.2,0.1,1.8,4.6,0.2,0,0.6,0.1,0,0
GATANGA,55340,0,0,0.1,94.9,0.1,1.6,1,0.7,0,1.3,0.1,0.1,0
KIGUMO,40528,0,0,0.2,93.4,0.2,1.7,3.8,0.2,0,0.4,0.2,0,0
KANDARA,50657,0,0,0.2,94.6,0.2,1.8,2.2,0.2,0,0.5,0.1,0,0
ABERDARE FOREST,10,-,-,-,100,-,- ,-,-,-,-,-,-,-
KIAMBU,792333,0,0,0,76.5,0.1,1.8,18,1.4,0,1.4,0.5,0.1,0
GATUNDU NORTH,31452,0,0,0.1,95.5,0.1,0.9,1.9,0.4,0,0.8,0.1,0.2,0
GATUNDU SOUTH,35577,-,0,0.1,94.1,0.1,1.7,2.7,0.4,0,0.6,0.2,0.1,0
GITHUNGURI,49414,0,0,0,92,0.1,1.5,4.8,0.6,0,0.7,0.2,0.1,0
JUJA,104042,0,0,0,69.8,0.1,2.4,24.2,0.8,0,2.1,0.3,0.1,0
